attackid,sessionid,repeated,severity,attack,service,srcip,dstip,subtype,eventtype,url
49499,7145,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7147,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7149,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7151,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7153,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7155,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7157,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7159,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7161,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7163,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7165,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7167,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7169,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7171,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7173,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7175,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7177,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7179,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7181,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7183,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7185,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7187,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7189,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7191,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7193,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7195,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7197,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7199,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7201,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7203,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7205,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7207,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7209,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7211,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7213,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7215,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7217,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7219,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7221,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7223,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7225,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7227,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7229,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7231,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7233,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7235,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7237,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7239,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7241,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7243,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7245,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7247,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7249,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7251,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7253,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7255,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7257,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7259,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7261,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7263,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7265,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7267,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7269,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7271,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7273,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7275,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7277,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7279,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7281,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7283,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7285,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7287,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7289,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7291,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7293,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7295,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7297,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7299,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7301,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7303,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7305,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7307,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7309,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7311,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7313,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7315,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
