app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
mqtt-base	mqtt	5193	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5194	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5195	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5196	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5197	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5198	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5199	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5200	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5201	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5202	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5203	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5204	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5205	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5206	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5207	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5208	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5209	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5210	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5211	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5212	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5213	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5214	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5215	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5260	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5259	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5258	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5257	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5256	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5255	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5254	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5253	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5252	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5251	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5250	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5249	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5248	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5247	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5246	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5245	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5244	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5243	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5242	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5241	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5240	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5239	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5238	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5237	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5236	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5235	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5234	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5233	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5232	general-business	2	tcp	192.168.1.134	192.168.1.133
