app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
ms-netlogon		23243	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23235	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23239	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23241	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23253	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23259	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23257	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23251	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23255	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23260	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23262	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23264	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23266	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23268	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23270	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23272	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23274	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23276	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23278	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23280	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23282	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23284	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23286	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23288	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23290	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23263	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23261	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23277	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23267	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23275	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23273	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23269	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23265	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23271	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23279	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23291	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23289	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23287	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23285	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23281	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23283	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23292	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23294	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23296	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23298	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23300	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23302	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23304	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23306	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23314	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23312	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23310	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23308	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23231	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23229	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23233	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23258	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23256	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23254	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23252	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23250	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23248	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23246	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23244	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23242	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23240	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23238	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23236	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23234	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23232	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23230	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23228	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23211	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23221	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23223	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23225	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23227	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23213	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23215	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23219	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23217	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23209	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23201	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23203	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23199	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23205	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23207	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23197	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23226	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23224	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23222	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23220	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23325	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23327	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23335	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23329	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23333	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23337	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23343	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23331	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23339	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23341	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23351	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23345	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23347	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23349	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23353	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23355	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23356	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23358	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23360	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23362	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23364	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23366	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23368	infrastructure	2	tcp	192.168.1.135	192.168.1.200
